Defect ID,Summary,Module,Severity,Priority,Status,Logged Date,Closed Date,Root Cause,Type
D0279,Walk show since right however.,Sales,High,P1,Reopened,2025-02-01,,Security,Data
D0280,Whether education hope eight rest.,HR,Medium,P2,Open,2025-03-03,,Data Conversion,UI
D0281,After success special check whether over care.,Inventory,High,P3,Closed,2025-02-02,2025-03-25,Security,Data
D0282,Example reflect much nothing.,Finance,Critical,P2,Closed,2025-01-27,2025-02-22,Data Conversion,Data
D0283,Charge whatever product daughter support ago.,HR,Critical,P1,In Progress,2025-01-24,,Configuration,Data
D0284,Nice account mission throughout art effort moment.,Accounts Receivable,Low,P1,Reopened,2025-03-23,,Security,UI
D0285,Develop type foreign part site up recent rock.,HR,High,P2,Reopened,2025-01-25,,Integration,Functional
D0286,Blood defense color establish.,Sales,High,P2,In Progress,2025-02-09,,UI Gap,Technical
D0287,Factor smile focus firm front able he.,Sales,High,P3,In Progress,2025-01-17,,Integration,Technical
D0288,Only film day soon.,Sales,Medium,P3,In Progress,2025-02-27,,Data Conversion,Technical
D0289,Western specific PM series turn national.,Accounts Receivable,High,P3,Closed,2025-02-23,2025-03-08,UI Gap,Functional
D0290,Heavy turn always land.,Accounts Payable,Low,P1,Open,2025-03-06,,Security,Technical
D0291,Store structure reflect couple responsibility others rather enjoy.,Finance,Low,P2,Reopened,2025-03-03,,Security,Technical
D0292,They data learn.,Procurement,Critical,P1,In Progress,2025-02-04,,Configuration,Data
D0293,Somebody else floor.,Sales,Low,P3,In Progress,2025-01-22,,Data Conversion,Data
D0294,Old be glass modern who.,Inventory,Low,P1,Open,2025-02-16,,Data Conversion,UI
D0295,Officer general enter born work else citizen.,Accounts Receivable,Low,P2,Reopened,2025-03-11,,Data Conversion,Technical
D0296,Contain resource likely effort worry.,Accounts Payable,High,P3,Closed,2025-03-06,2025-03-16,UI Gap,Functional
D0297,Environmental interview analysis kind large.,Finance,Medium,P1,Open,2025-03-18,,Data Conversion,Functional
D0298,Stop audience since major beat could real.,Sales,Critical,P1,Reopened,2025-03-09,,Performance,UI
D0299,Computer worry ground card plan state.,Procurement,High,P2,Reopened,2025-02-19,,Performance,Data
D0300,Eat across travel town.,Accounts Receivable,Low,P3,Open,2025-04-10,,UI Gap,Functional
D0301,Traditional hit fill beautiful from set similar.,HR,Critical,P1,Reopened,2025-03-16,,Performance,Technical
D0302,Economic religious send appear.,Accounts Receivable,High,P2,Open,2025-02-24,,Performance,Data
D0303,Several special fund only north institution interesting community.,Sales,Medium,P2,Reopened,2025-02-01,,Data Conversion,Technical
D0304,Bank manage member exist decision bag have court.,Finance,Medium,P2,Reopened,2025-02-20,,UI Gap,Functional
D0305,Edge would institution threat smile.,Sales,High,P2,Open,2025-04-01,,Security,UI
D0306,Time case occur able leg many.,Accounts Receivable,Low,P3,Reopened,2025-04-14,,UI Gap,Data
D0307,Simple partner decision against heart decide environment.,Accounts Payable,Low,P1,In Progress,2025-02-16,,Performance,Data
D0308,Miss get single between write office product.,Sales,Low,P1,Reopened,2025-01-18,,Data Conversion,Functional
D0309,Land radio age catch reveal.,Finance,Medium,P3,Closed,2025-02-21,2025-03-02,Configuration,Technical
D0310,Task that pick not reduce.,Finance,Medium,P1,In Progress,2025-03-23,,Data Conversion,Technical
D0311,Make social single share argue well look.,Procurement,Low,P2,Open,2025-02-05,,Data Conversion,Technical
D0312,Whose current mission job camera people because.,Procurement,Medium,P3,Open,2025-03-15,,Performance,Data
D0313,Black bed your successful.,Sales,High,P1,Reopened,2025-03-30,,Data Conversion,Functional
D0314,Catch care begin training.,Inventory,Critical,P1,In Progress,2025-03-01,,Integration,Technical
D0315,Inside beyond administration give local every son.,Inventory,High,P3,In Progress,2025-03-04,,Configuration,Functional
D0316,Win section become.,Accounts Payable,Critical,P2,Closed,2025-02-12,2025-03-10,Security,UI
D0317,Style thousand military hard quite trial.,Finance,Medium,P2,In Progress,2025-01-30,,Configuration,Functional
D0318,Ten particularly east consumer painting space.,HR,Low,P3,In Progress,2025-02-14,,UI Gap,Data
D0319,Table door skin.,Procurement,Critical,P1,Closed,2025-03-05,2025-03-05,Performance,Functional
D0320,Factor know new themselves significant.,Sales,Critical,P1,In Progress,2025-02-11,,Integration,Technical
D0321,Task month surface too beautiful.,Inventory,Critical,P1,Reopened,2025-02-02,,Integration,Technical
D0322,Water alone conference.,Procurement,Medium,P1,Open,2025-03-20,,Security,Technical
D0323,Under that poor fact begin agency.,Procurement,High,P1,In Progress,2025-03-27,,Integration,Functional
D0324,Cut build break financial friend.,HR,Critical,P2,Closed,2025-03-06,2025-04-13,Configuration,Functional
D0325,Condition surface nearly.,Finance,High,P3,Reopened,2025-02-10,,Configuration,Data
D0326,Dark happen traditional performance region each.,Accounts Payable,Low,P3,Reopened,2025-03-12,,Security,Technical
D0327,Good partner away add Mrs represent.,Finance,Critical,P3,Open,2025-03-13,,Security,Functional
D0328,This quality leave affect read.,Accounts Receivable,Medium,P1,Open,2025-03-30,,Security,Technical
D0329,Room ago store positive.,Sales,Low,P2,Reopened,2025-04-05,,Configuration,UI
D0330,Mouth item say management leg.,Procurement,Low,P2,Open,2025-01-22,,Security,UI
D0331,Often everybody at.,Procurement,Critical,P2,Reopened,2025-03-18,,Performance,UI
D0332,Born answer want tree my relationship.,HR,High,P1,Open,2025-02-13,,Configuration,Functional
D0333,Public factor level man rise.,Accounts Payable,High,P2,Reopened,2025-01-26,,Security,UI
D0334,Exist method board.,HR,Medium,P1,Closed,2025-04-08,2025-04-14,Performance,UI
D0335,Culture within author attorney house.,Accounts Receivable,High,P3,In Progress,2025-02-19,,Data Conversion,Data
D0336,Choice city appear size contain.,Accounts Receivable,Medium,P2,Closed,2025-04-05,2025-04-09,Security,UI
D0337,Consumer finish summer here born win cold book.,HR,High,P3,In Progress,2025-04-12,,UI Gap,UI
D0338,Paper black remember person.,Finance,Critical,P3,Open,2025-02-09,,Integration,Technical
D0339,While behind peace car stuff culture rate huge.,Finance,Medium,P1,Open,2025-01-24,,Integration,UI
D0340,Health story course network gas do finish.,Accounts Receivable,Low,P2,In Progress,2025-03-20,,Configuration,Data
D0341,Matter effect national job window.,Finance,Critical,P3,Closed,2025-02-22,2025-04-03,Performance,Data
D0342,Give difference ground know determine.,Procurement,High,P1,Open,2025-03-24,,Integration,Technical
D0343,Win room line former nor mind military.,HR,Critical,P3,In Progress,2025-03-20,,Configuration,UI
D0344,Eight they effort song arm need community.,HR,High,P2,In Progress,2025-01-23,,Data Conversion,Data
D0345,Sit bring you key role south.,Procurement,High,P1,Reopened,2025-02-28,,Security,Technical
D0346,Will risk positive suggest it section.,Finance,Low,P1,Open,2025-01-28,,Integration,Functional
D0347,Black manager itself majority then day.,Procurement,Medium,P1,Reopened,2025-02-04,,UI Gap,Data
D0348,Central fight particularly hospital push people.,Accounts Receivable,High,P3,In Progress,2025-03-27,,UI Gap,Functional
D0349,Others by floor five.,Sales,High,P1,Reopened,2025-04-12,,Security,Functional
D0350,Send stuff worry admit cost break.,Sales,Low,P3,In Progress,2025-01-16,,Configuration,Technical
D0351,Force various example write window whose.,Accounts Receivable,High,P1,Reopened,2025-01-17,,Configuration,Functional
D0352,List economy sell star.,Sales,Critical,P3,Open,2025-02-06,,Configuration,UI
D0353,Cut development traditional a parent every hot smile.,Accounts Payable,Critical,P1,Open,2025-03-05,,Integration,Technical
D0354,Blood discover adult identify significant final home.,Accounts Payable,High,P1,Open,2025-03-01,,Configuration,Data
D0355,Main enough mind between serve middle defense.,Accounts Payable,Critical,P2,Open,2025-03-17,,Security,Data
D0356,Quickly individual hit raise.,Finance,Critical,P3,Open,2025-03-29,,Configuration,Functional
D0357,Care read media list dinner study.,Procurement,Medium,P2,Reopened,2025-04-01,,Security,Data
D0358,Result still new democratic gas country.,Finance,Critical,P1,Closed,2025-02-22,2025-03-22,UI Gap,Functional
D0359,Day discuss glass expect miss.,Sales,Critical,P2,In Progress,2025-03-27,,UI Gap,UI
D0360,Start important method either international.,Sales,Low,P2,In Progress,2025-03-30,,Data Conversion,UI
D0361,Body position certain when spring.,Inventory,Low,P3,Open,2025-03-15,,Integration,Technical
D0362,Price report use.,Accounts Payable,Critical,P1,In Progress,2025-02-21,,Integration,UI
D0363,Sometimes law I idea.,Accounts Receivable,Critical,P2,Reopened,2025-03-07,,Integration,UI
D0364,Seat should about key night guess difficult.,Accounts Payable,Critical,P2,Closed,2025-04-13,2025-04-13,Performance,Functional
D0365,Thousand question my some name where realize student.,Inventory,Critical,P1,In Progress,2025-03-11,,Performance,Data
D0366,Himself build star age.,Procurement,Critical,P1,Closed,2025-03-05,2025-03-16,Integration,Technical
D0367,Believe already them expect base best.,Accounts Payable,Critical,P2,Reopened,2025-01-28,,Configuration,Data
D0368,Interesting option weight really require north buy already.,HR,Low,P1,Reopened,2025-01-28,,Security,Technical
D0369,Light continue law control second.,Accounts Payable,Medium,P1,Open,2025-01-27,,Security,Technical
D0370,Prove particularly listen maybe pass.,Finance,Low,P3,Closed,2025-04-13,2025-04-15,Configuration,Technical
D0371,Idea dream middle approach.,HR,High,P3,In Progress,2025-01-29,,UI Gap,Technical
D0372,Safe everything section just network look already.,Inventory,Critical,P3,Reopened,2025-03-30,,Data Conversion,Functional
D0373,Reason bed card hair.,Inventory,Medium,P2,Closed,2025-04-11,2025-04-15,Performance,Technical
D0374,Reflect street party mind.,Accounts Payable,Low,P2,In Progress,2025-02-10,,Security,Functional
D0375,Huge computer lawyer.,Accounts Payable,High,P3,Open,2025-02-16,,Configuration,Technical
D0376,Partner network feel religious program structure.,Sales,Critical,P1,Closed,2025-04-05,2025-04-12,Performance,Technical
D0377,Management style and heavy least lot.,Accounts Receivable,Critical,P2,Reopened,2025-03-21,,Integration,Data
D0378,Last hot top economy such.,Finance,Critical,P3,Reopened,2025-02-09,,Integration,Data
D0379,Military full mean budget pull debate people.,Sales,Low,P1,Closed,2025-02-28,2025-03-14,Integration,UI
D0380,East man Mr light box character wish.,Accounts Payable,High,P3,Open,2025-03-11,,Security,Technical
D0381,Other network matter task describe food.,Inventory,Critical,P1,Reopened,2025-01-19,,Performance,UI
D0382,Third debate chance structure involve protect.,Finance,Medium,P3,Reopened,2025-03-30,,Integration,Data
D0383,Take watch will get decide.,Finance,Critical,P3,Closed,2025-02-26,2025-04-04,Integration,Data
D0384,Street measure indicate until.,Sales,High,P1,Reopened,2025-03-31,,Integration,Functional
D0385,Actually market agent military international live fill.,Accounts Receivable,Low,P2,Closed,2025-01-19,2025-02-09,Security,UI
D0386,Up together beyond summer father.,Inventory,High,P2,Reopened,2025-04-05,,Data Conversion,Technical
D0387,Grow book voice itself fire.,Accounts Receivable,Critical,P1,Closed,2025-04-15,2025-04-15,Performance,UI
D0388,Small star would six red course start.,HR,High,P3,Open,2025-03-26,,Configuration,Data
D0389,Box glass sister stop actually.,Accounts Receivable,Low,P1,Open,2025-01-22,,Integration,Technical
D0390,Happy summer threat fly important the.,Accounts Payable,Medium,P2,Open,2025-04-09,,Security,UI
D0391,Usually science cut day discover usually one.,Inventory,Critical,P2,Closed,2025-03-10,2025-03-26,UI Gap,Technical
D0392,Style certainly feel official care scientist past.,Finance,Critical,P3,Closed,2025-01-25,2025-02-16,Configuration,Technical
D0393,Left within compare bed debate what though.,Procurement,High,P2,Closed,2025-02-10,2025-04-01,Integration,Functional
D0394,Top tree town represent sit else fall.,Accounts Payable,High,P3,Closed,2025-03-08,2025-04-10,Integration,Technical
D0395,Tend especially sound mission despite firm describe race.,HR,High,P1,Open,2025-04-11,,UI Gap,UI
D0396,Society today chance production cultural task approach.,Procurement,High,P3,Closed,2025-03-11,2025-03-28,Security,Data
D0397,Able white amount best culture thousand environment because.,Accounts Receivable,Medium,P2,Reopened,2025-01-25,,Data Conversion,Functional
D0398,Record seven suddenly to be space.,Accounts Receivable,Critical,P3,Reopened,2025-01-25,,Security,UI
D0399,Three compare oil rule drive.,Procurement,Medium,P3,Open,2025-04-07,,Data Conversion,Functional
D0400,Everyone and know friend lawyer.,Accounts Payable,Critical,P3,Reopened,2025-02-04,,Performance,Data
D0401,Employee growth power long.,HR,Critical,P1,Open,2025-01-31,,Data Conversion,Data
D0402,Keep try carry go make.,Accounts Receivable,Critical,P1,Closed,2025-01-19,2025-03-02,Configuration,Technical
D0403,Eat effect interest modern.,Accounts Payable,Low,P1,Open,2025-03-16,,Data Conversion,UI
D0404,Charge situation arm arm.,Sales,Low,P3,Open,2025-03-23,,Configuration,UI
D0405,Property cause care process candidate begin outside.,Procurement,Medium,P1,Closed,2025-03-21,2025-03-24,Configuration,Technical
D0406,Bring identify consumer whose brother.,Inventory,High,P2,Open,2025-03-12,,Performance,UI
D0407,Among science voice enjoy particularly.,Inventory,Medium,P2,Open,2025-04-06,,Data Conversion,Data
D0408,Face everyone off great probably business.,Procurement,High,P2,Open,2025-02-24,,Data Conversion,Data
D0409,Goal stock ever your father.,HR,Low,P2,Reopened,2025-03-15,,Configuration,Technical
D0410,Participant daughter bag piece exactly cup theory.,Procurement,Medium,P3,Open,2025-04-07,,Data Conversion,UI
D0411,Actually bag song treat.,Finance,Low,P3,Open,2025-01-19,,Security,Data
D0412,Prepare card occur support light piece treatment.,Accounts Receivable,Low,P3,Open,2025-02-28,,Configuration,Technical
D0413,Vote itself note wide.,Accounts Payable,Low,P1,Reopened,2025-01-21,,Data Conversion,UI
D0414,Those plan join mind pass.,Inventory,Low,P1,Closed,2025-01-30,2025-02-03,UI Gap,UI
D0415,Miss at seem fund store gun.,Procurement,Low,P3,Closed,2025-02-03,2025-02-15,Security,Technical
D0416,Pressure significant professional on issue.,Accounts Payable,Low,P2,Open,2025-02-11,,Configuration,Functional
D0417,Property up people affect cost including.,Accounts Payable,Critical,P1,In Progress,2025-04-04,,Performance,Functional
D0418,Safe behavior us assume.,Accounts Receivable,High,P3,Reopened,2025-03-15,,Configuration,Technical
D0419,Mission one write decision.,HR,High,P1,In Progress,2025-03-12,,Security,Data
D0420,Add any her case just value program.,Accounts Payable,Medium,P1,Closed,2025-02-11,2025-02-17,Data Conversion,UI
D0421,Business result mind art section strategy.,Accounts Receivable,High,P2,In Progress,2025-04-14,,Integration,Functional
D0422,Old officer number state believe should.,Procurement,Low,P1,Reopened,2025-03-17,,Integration,Data
D0423,Body month arm improve art first general.,Accounts Receivable,High,P3,Reopened,2025-02-17,,Data Conversion,Data
D0424,Different teacher light risk marriage song.,Accounts Payable,Low,P3,In Progress,2025-02-26,,UI Gap,Functional
D0425,Go moment truth say force.,Finance,High,P2,Open,2025-02-10,,Integration,Technical
D0426,Management money peace senior.,Inventory,High,P1,Open,2025-02-19,,Performance,Functional
D0427,Able best it suddenly.,Sales,Low,P3,Closed,2025-03-30,2025-04-03,Performance,Data
D0428,Not source east.,HR,Medium,P2,Reopened,2025-01-25,,UI Gap,UI
D0429,Color establish finish official story wife Democrat.,Procurement,High,P1,In Progress,2025-01-28,,Configuration,Functional
D0430,Collection laugh page several pay treatment compare.,HR,Medium,P3,Open,2025-02-01,,Performance,Technical
D0431,Explain everything also rich.,Sales,Low,P1,Open,2025-03-31,,Security,UI
D0432,End but increase beyond.,Inventory,Medium,P2,Closed,2025-02-22,2025-04-06,Configuration,Data
D0433,Full start culture because own represent.,HR,High,P1,Open,2025-04-09,,Integration,Data
D0434,Account rather door raise establish do pass.,Sales,Critical,P3,In Progress,2025-04-07,,Data Conversion,Functional
D0435,Guy fight from number adult wrong democratic.,Sales,Medium,P1,Open,2025-02-21,,Performance,UI
D0436,Community people else piece letter key.,HR,Medium,P3,Open,2025-03-23,,Performance,Technical
D0437,North professional official thought.,Inventory,Low,P2,Open,2025-04-01,,Performance,Functional
D0438,Last house know alone guess.,Procurement,Medium,P1,Reopened,2025-03-09,,Configuration,UI
D0439,Cold tell technology.,HR,High,P2,Open,2025-03-01,,Data Conversion,Functional
D0440,Important child organization sister bad.,Accounts Receivable,Medium,P1,Open,2025-02-26,,Configuration,Functional
D0441,Over compare realize wonder.,Inventory,Medium,P1,Closed,2025-04-15,2025-04-15,Data Conversion,Technical
D0442,Care garden red beautiful company light.,Accounts Receivable,High,P3,Open,2025-03-27,,Performance,UI
D0443,Foreign item center heavy.,Procurement,Medium,P2,Reopened,2025-02-21,,Security,Data
D0444,Population spring artist he.,Accounts Receivable,High,P3,Open,2025-04-03,,Integration,Technical
D0445,Area party better dream main.,Inventory,High,P1,Reopened,2025-01-26,,Data Conversion,UI
D0446,Dinner tell company step town report.,Finance,High,P1,In Progress,2025-01-31,,Configuration,Data
D0447,Several difference author finish whatever role.,Accounts Payable,High,P2,In Progress,2025-03-29,,Configuration,Functional
D0448,During rise according economy final color.,Accounts Payable,Medium,P1,Closed,2025-02-03,2025-04-01,Configuration,Technical
D0449,Step statement since population two.,Procurement,Low,P1,Closed,2025-04-12,2025-04-13,Data Conversion,Data
D0450,Store exist issue institution say.,Finance,Medium,P3,Open,2025-01-29,,Performance,UI
D0451,Together movement whom that today.,Procurement,Critical,P2,In Progress,2025-01-20,,Integration,Technical
D0452,Once walk chance fall start.,Procurement,Medium,P2,Closed,2025-03-18,2025-04-03,Security,Functional
D0453,Every future everybody factor anything available.,Finance,Critical,P3,In Progress,2025-02-08,,Performance,Technical
D0454,Into bill others range a environment spring.,Accounts Receivable,Low,P3,Reopened,2025-03-01,,Security,Data
D0455,Police former people pass ask.,Procurement,Medium,P2,Closed,2025-03-04,2025-04-14,Performance,Data
D0456,Writer business sister forget seat professor.,HR,High,P3,Reopened,2025-01-28,,Performance,UI
D0457,Worry consider issue thus little street yes.,Accounts Receivable,Critical,P2,Reopened,2025-03-18,,Integration,UI
D0458,Technology candidate better.,Procurement,Low,P2,Reopened,2025-02-03,,Performance,UI
D0459,Me beat treatment mouth site.,HR,High,P1,Closed,2025-03-18,2025-03-21,Performance,Technical
D0460,Think clear Republican into low direction serious prevent.,Sales,Critical,P2,Reopened,2025-02-18,,Configuration,Technical
D0461,Measure add degree rock lay oil how run.,Accounts Payable,Critical,P1,Closed,2025-03-29,2025-04-10,Data Conversion,Technical
D0462,Yeah agency age without.,Finance,Low,P1,Reopened,2025-04-14,,UI Gap,Functional
D0463,Minute medical site reality foot.,Sales,High,P1,Closed,2025-03-15,2025-04-01,Data Conversion,Technical
D0464,Somebody have image.,Finance,Low,P2,Closed,2025-03-25,2025-04-06,Security,Technical
D0465,Contain response husband able within already agree.,HR,High,P2,In Progress,2025-04-01,,UI Gap,UI
D0466,Glass party will cell sell and.,Accounts Receivable,High,P1,In Progress,2025-02-22,,Integration,Technical
D0467,Into remain risk garden especially house conference.,Finance,Medium,P1,Closed,2025-04-04,2025-04-13,UI Gap,Data
D0468,Game style health maybe music.,Finance,Medium,P2,Closed,2025-03-31,2025-04-02,UI Gap,UI
D0469,Always movement always its seek form whether consider.,Inventory,Low,P2,In Progress,2025-03-23,,UI Gap,Technical
D0470,Any politics price support father.,Inventory,Medium,P2,In Progress,2025-03-05,,Performance,Technical
D0471,Born western like thought fund method.,Finance,High,P3,Reopened,2025-01-25,,Security,UI
D0472,Listen difficult anything very.,Finance,Medium,P1,In Progress,2025-02-19,,Configuration,Technical
D0473,Thousand statement ground dog group federal attorney around.,Procurement,Critical,P1,Open,2025-02-07,,UI Gap,UI
D0474,Dinner them space new public impact occur.,Procurement,Medium,P1,Closed,2025-03-11,2025-04-12,Data Conversion,Data
D0475,History occur civil human strategy short industry policy.,Sales,High,P1,Open,2025-02-17,,Configuration,Functional
D0476,Late nature five figure.,Sales,Critical,P1,In Progress,2025-03-25,,Security,Technical
D0477,Follow walk single together.,HR,High,P3,Closed,2025-04-13,2025-04-15,Performance,Functional
D0478,Light not probably level thought feel where environmental.,Accounts Payable,Medium,P2,Closed,2025-04-14,2025-04-15,Security,UI
D0479,Population simple open central baby.,Sales,Low,P1,Open,2025-02-14,,Integration,UI
D0480,Back art value several.,Accounts Payable,Medium,P3,Reopened,2025-02-19,,UI Gap,Data
D0481,Already story weight late understand determine nature.,Accounts Receivable,Low,P3,Open,2025-01-31,,Security,Technical
D0482,Without difficult American again myself.,HR,Medium,P2,Reopened,2025-01-20,,Security,Functional
D0483,Week respond control hair also.,Accounts Receivable,Low,P3,In Progress,2025-04-08,,Performance,Technical
D0484,Able type address cup second ahead support most.,Procurement,Low,P1,Closed,2025-02-13,2025-04-01,Configuration,Data
D0485,Play under follow and many.,Procurement,High,P1,In Progress,2025-02-17,,Integration,UI
D0486,Perform us common stuff senior religious.,HR,Medium,P3,Open,2025-03-25,,Data Conversion,UI
D0487,Prevent appear none red page.,Finance,Medium,P3,Open,2025-01-27,,UI Gap,Technical
D0488,Establish environmental sure nothing Democrat future.,Accounts Receivable,Medium,P2,Reopened,2025-04-02,,Data Conversion,Technical
D0489,Scientist although available more wind worker.,Procurement,Critical,P3,Open,2025-02-03,,Configuration,UI
D0490,Next process policy knowledge often.,Accounts Payable,High,P2,Reopened,2025-04-06,,Security,Functional
D0491,Finally mission hard require scene bank.,Procurement,High,P2,Open,2025-03-02,,Integration,UI
D0492,Act beyond cup ask research.,Inventory,Critical,P1,Reopened,2025-03-01,,Performance,Data
D0493,Probably just bed window remain treatment agent.,Accounts Payable,Medium,P3,Open,2025-02-23,,Integration,Functional
D0494,Sell food participant film wrong fear none.,Finance,Low,P2,In Progress,2025-04-13,,UI Gap,UI
D0495,Newspaper early common seem.,Accounts Payable,Medium,P2,Reopened,2025-03-01,,Performance,Technical
D0496,Entire each future nature large either town.,Accounts Payable,Low,P1,In Progress,2025-02-12,,UI Gap,Functional
D0497,Official approach maintain term suddenly structure situation loss.,Sales,Critical,P2,Open,2025-02-09,,Data Conversion,UI
D0498,Leader ground soldier.,Inventory,Critical,P2,Closed,2025-04-05,2025-04-05,Data Conversion,Data
D0499,Successful plan similar use hour side.,Procurement,High,P1,Reopened,2025-03-03,,UI Gap,Technical
D0500,Central president fast treatment send read pick.,Finance,High,P2,Closed,2025-03-05,2025-03-25,Integration,UI
D0501,Call writer sport.,Finance,Low,P1,Open,2025-02-01,,Security,Data
D0502,After beyond together glass ground.,Sales,Low,P3,Reopened,2025-04-12,,UI Gap,UI
D0503,Wonder science record partner her describe.,Accounts Receivable,Low,P3,Closed,2025-02-11,2025-03-09,Performance,Data
D0504,Personal discuss main realize material.,Accounts Payable,Medium,P3,Open,2025-03-02,,Configuration,Functional
D0505,Might business future church.,Accounts Receivable,Low,P2,In Progress,2025-03-27,,Security,Functional
D0506,Seat property day standard your.,Accounts Receivable,Low,P2,Closed,2025-02-05,2025-03-26,UI Gap,UI
D0507,Subject clearly candidate myself music poor.,Procurement,Low,P2,Open,2025-02-19,,Data Conversion,UI
D0508,May under training believe get.,Inventory,High,P3,Open,2025-04-03,,Data Conversion,Data
D0509,Probably for tend light.,Procurement,Medium,P3,Closed,2025-02-18,2025-02-18,UI Gap,Data
D0510,Dark girl American yet.,Accounts Receivable,Critical,P1,Closed,2025-02-21,2025-03-25,Configuration,Technical
D0511,Goal must minute board ahead.,Procurement,Critical,P2,Open,2025-02-10,,Data Conversion,Technical
D0512,Yourself draw now bag.,Accounts Payable,Low,P2,Open,2025-04-10,,Integration,Data
D0513,Open word total church boy apply project look.,HR,Medium,P1,Reopened,2025-02-26,,Configuration,UI
D0514,Mr relate serious should under message voice.,Accounts Payable,Medium,P2,Open,2025-04-08,,Configuration,Functional
D0515,Everyone low role attention be despite arrive.,Inventory,Medium,P3,In Progress,2025-03-15,,UI Gap,Functional
D0516,Fight fire size society.,Inventory,High,P1,Open,2025-04-12,,Performance,Functional
D0517,Rise spring threat current from realize.,Procurement,Medium,P1,In Progress,2025-03-15,,Data Conversion,Data
D0518,Must cover knowledge Republican two floor trouble.,Finance,High,P1,Closed,2025-03-21,2025-04-15,UI Gap,Technical
D0519,American building rich pretty.,Inventory,Low,P2,Reopened,2025-01-16,,UI Gap,Technical
D0520,Stock economy against commercial few he.,Finance,High,P1,Closed,2025-02-22,2025-03-27,Configuration,Technical
D0521,Wide detail standard interview effort old interest teacher.,Sales,Low,P3,In Progress,2025-02-12,,Data Conversion,UI
D0522,Suggest seem against development exactly.,Finance,Low,P2,Closed,2025-04-12,2025-04-13,Data Conversion,Data
D0523,Remain thing trip well worker pressure.,Accounts Payable,Critical,P1,In Progress,2025-01-27,,Configuration,UI
D0524,College offer table room among lose national.,Finance,Medium,P1,Open,2025-03-03,,UI Gap,Technical
D0525,Language world late from window others someone at.,Accounts Receivable,Low,P2,Closed,2025-02-06,2025-04-12,Data Conversion,Technical
D0526,Relate leader tell area watch partner not.,Sales,Medium,P2,Closed,2025-03-03,2025-04-08,Data Conversion,Technical
D0527,Answer wrong grow defense suffer image right.,Procurement,Low,P1,Closed,2025-02-09,2025-02-22,Configuration,UI
D0528,Mission rich six commercial including.,HR,Medium,P1,Reopened,2025-02-03,,Integration,UI
D0529,Lot less blue find.,Accounts Receivable,High,P1,Reopened,2025-03-25,,Integration,Technical
D0530,Kid structure deal loss arrive political laugh.,HR,Medium,P3,Reopened,2025-04-13,,Security,Functional
D0531,Every election executive stay soon commercial a.,Inventory,Critical,P2,Closed,2025-02-08,2025-03-04,Data Conversion,Technical
D0532,Mind sure notice.,HR,Medium,P2,Closed,2025-01-29,2025-02-16,Configuration,UI
D0533,Individual wonder finish significant create night.,Inventory,High,P3,Reopened,2025-03-08,,Security,UI
D0534,Ball edge contain represent perhaps perhaps.,Accounts Payable,Low,P3,Reopened,2025-01-28,,Integration,Functional
D0535,Very successful item structure.,Finance,Medium,P3,Closed,2025-02-08,2025-03-16,Integration,Technical
D0536,Town body strategy PM nation hit.,Procurement,High,P1,Open,2025-03-20,,Security,Functional
D0537,Left upon own feel clear author.,Accounts Receivable,Medium,P3,In Progress,2025-01-20,,Security,UI
D0538,Their often low several professional answer every fish.,Accounts Payable,High,P1,Open,2025-04-10,,Performance,Data
D0539,Network American shake join.,HR,Medium,P1,Closed,2025-03-19,2025-04-06,Security,Technical
D0540,Inside allow evening green floor article this.,Accounts Payable,Critical,P1,Closed,2025-03-30,2025-04-04,Integration,Technical
D0541,Along record four population center relate anything relationship.,Accounts Payable,Low,P3,Closed,2025-04-10,2025-04-12,Configuration,Functional
D0542,Prevent conference care identify.,Inventory,Low,P2,Reopened,2025-03-17,,UI Gap,Technical
D0543,Water house hand practice suddenly author religious.,Procurement,High,P1,Reopened,2025-04-12,,Performance,UI
D0544,Growth movement kind machine.,Sales,Critical,P1,Closed,2025-01-26,2025-04-03,Performance,Functional
D0545,Center but vote purpose it study region.,Sales,High,P3,In Progress,2025-02-11,,Security,UI
D0546,Arm meeting guy.,Sales,Medium,P2,Reopened,2025-02-02,,Performance,Functional
D0547,Staff during forget deal site red director treat.,Inventory,Medium,P1,In Progress,2025-02-09,,UI Gap,Functional
D0548,Former animal case as focus whose news.,Inventory,Medium,P1,Open,2025-03-09,,Security,UI
D0549,Remain move system like thing though computer.,HR,Low,P3,Reopened,2025-01-21,,Integration,Data
D0550,Second tend possible food lay song.,Accounts Receivable,High,P1,Open,2025-04-06,,Performance,Technical
D0551,Actually least fall size key piece kid.,Sales,Low,P3,Open,2025-02-21,,Performance,Functional
D0552,Reality mother front hold economy response.,Procurement,Medium,P2,Closed,2025-01-27,2025-02-01,Security,Data
D0553,Successful perform own leader.,Sales,High,P3,Open,2025-01-31,,Data Conversion,Data
D0554,Cold degree down accept catch seem.,Inventory,Low,P1,In Progress,2025-02-19,,Security,UI
D0555,Surface current may everyone.,Accounts Receivable,Low,P1,Closed,2025-03-09,2025-03-31,Data Conversion,UI
D0556,Chair church bill event author.,Accounts Receivable,Critical,P2,Reopened,2025-02-16,,Data Conversion,Functional
D0557,Speech capital small practice per leg deal.,Procurement,Low,P3,Closed,2025-03-28,2025-04-04,Data Conversion,UI
